gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS21330,,,CoA transferase subunit B,,
ATU_RS21335,pcaF,,3-oxoadipyl-CoA thiolase,acyltransferase activity,3
ATU_RS21340,,,LacI family DNA-binding transcriptional regulator,,
ATU_RS21345,,,sugar ABC transporter substrate-binding protein,,
ATU_RS21350,,,sugar ABC transporter substrate-binding protein,,
ATU_RS21355,,,sugar phosphate isomerase/epimerase family protein,isomerase activity|0016853||IEA,
ATU_RS21360,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS21365,,,TIM barrel protein,,
ATU_RS21370,,,LacI family DNA-binding transcriptional regulator,transcription cis-regulatory region binding|0000976||IEA,DNA-templated transcription|0006351||IEA
ATU_RS21375,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS21380,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21385,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21390,,,glycoside hydrolase family 28 protein,,
ATU_RS21395,,,glycoside hydrolase family 88 protein,,
ATU_RS21400,,,hypothetical protein,,
ATU_RS21405,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS26935,,,phosphatase PAP2 family protein,,
ATU_RS21415,,,ROK family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21420,,,extracellular solute-binding protein,,
ATU_RS21425,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21430,,,ABC transporter permease,ATP binding|0005524||IEA,transmembrane transport|0055085||IEA
ATU_RS21435,,,ABC transporter permease,ATP binding|0005524||IEA,transmembrane transport|0055085||IEA
ATU_RS21440,,,glycerophosphodiester phosphodiesterase family protein,,
ATU_RS21445,,,inositol monophosphatase family protein,,
ATU_RS21450,,,SDR family oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS21455,,,AraC family transcriptional regulator,,
ATU_RS21460,,,ROK family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21465,,,ABC transporter substrate-binding protein,,
ATU_RS21470,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21475,,,iron ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,iron ion transport|0006826||IEA
ATU_RS21480,,,hypothetical protein,,
ATU_RS21485,,,flavin reductase family protein,FMN binding|0010181||IEA,
ATU_RS21490,fdxA,,ferredoxin FdxA,electron transfer activity|0009055||IEA,
ATU_RS21495,,,superoxide dismutase,superoxide dismutase activity|0004784||IEA,
ATU_RS21500,,,TetR/AcrR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21505,,,dihydrofolate reductase family protein,,
ATU_RS21510,,,linear amide C-N hydrolase,,
ATU_RS21515,,,hypothetical protein,,
ATU_RS21520,,,bile acid:sodium symporter family protein,symporter activity|0015293||IEA,
ATU_RS21525,,,aldo/keto reductase,,
ATU_RS21530,,,LysR family transcriptional regulator,DNA-binding transcription activator activity|0001216||IEA,
ATU_RS21535,,,2-keto-4-pentenoate hydratase,,
ATU_RS21540,,,fumarylacetoacetate hydrolase family protein,catalytic activity|0003824||IEA,
ATU_RS21545,,,DUF4286 family protein,,
ATU_RS21550,,,SDR family NAD(P)-dependent oxidoreductase,,
ATU_RS21555,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21560,,,ABC transporter permease,ATP binding|0005524||IEA,
ATU_RS21565,,,ABC transporter ATP-binding protein,transporter activity|0005215||IEA,transport|0006810||IEA
ATU_RS21570,,,IclR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS21575,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21580,,,IS3-like element IS426 family transposase,transposase activity|0004803||IEA,DNA transposition|0006313||IEA
