gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS06455,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS06460,,,type II toxin-antitoxin system ParD family antitoxin,,regulation of chromosome segregation|0051983||IEA
ATU_RS06465,,,type II toxin-antitoxin system RelE/ParE family toxin,DNA topoisomerase type II (double strand cut,plasmid partitioning|0030541||IEA
ATU_RS06470,,,TetR/AcrR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS06475,,,hypothetical protein,,
ATU_RS06480,,,DUF6105 family protein,,
ATU_RS06485,ruvX,,Holliday junction resolvase RuvX,molecular_function|0003674||IEA,biological_process|0008150||IEA
ATU_RS06490,,,alkylphosphonate utilization protein,,
ATU_RS06495,,,metal-dependent hydrolase,,
ATU_RS06500,gatC,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA,glutamyl-tRNA aminoacylation|0006424||IEA
ATU_RS06505,gatA,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA,glutamyl-tRNA aminoacylation|0006424||IEA
ATU_RS06510,,,N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS06515,,,YjhX family toxin,,
ATU_RS06520,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS06525,,,DUF1294 domain-containing protein,,
ATU_RS06530,gatB,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,carbon-nitrogen ligase activity,
ATU_RS06535,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS06540,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS06545,,,NADH:ubiquinone oxidoreductase subunit NDUFA12,,NADH dehydrogenase complex assembly|0010257||IEA
ATU_RS06550,,,DUF2155 domain-containing protein,,
ATU_RS06555,aat,,leucyl/phenylalanyl-tRNA--protein transferase,leucyl-tRNA--protein transferase activity|0008914||IEA,proteolysis|0006508||IEA
ATU_RS06560,accC,,acetyl-CoA carboxylase biotin carboxylase subunit,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS06565,accB,,acetyl-CoA carboxylase biotin carboxyl carrier protein,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS06570,aroQ,,type II 3-dehydroquinate dehydratase,3-dehydroquinate dehydratase activity|0003855||IEA,chorismate biosynthetic process|0009423||IEA
ATU_RS06575,,,DsbA family protein,,
ATU_RS06580,,,pyridoxal phosphate-dependent aminotransferase,pyridoxal phosphate binding|0030170||IEA,biosynthetic process|0009058||IEA
ATU_RS06585,,,helix-turn-helix transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS06590,,,NIPSNAP family protein,,
ATU_RS06595,,,antibiotic biosynthesis monooxygenase,monooxygenase activity|0004497||IEA,
ATU_RS06600,,,SDR family oxidoreductase,,
ATU_RS06605,,,ribonuclease E/G,,
ATU_RS26535,,,hypothetical protein,,
ATU_RS06610,,,N-acetylmuramoyl-L-alanine amidase,,
ATU_RS06615,,,penicillin-binding protein 1A,,
ATU_RS06620,prfB,,peptide chain release factor 2,,
ATU_RS06625,,,cysteine hydrolase family protein,,
ATU_RS06630,,,hypothetical protein,,
ATU_RS06635,,,NAD kinase,NAD+ kinase activity|0003951||IEA,NADP biosynthetic process|0006741||IEA
ATU_RS06640,,,PhzF family phenazine biosynthesis protein,isomerase activity|0016853||IEA,biosynthetic process|0009058||IEA
ATU_RS06645,,,translation factor GTPase family protein,,
ATU_RS06650,,,hypothetical protein,,
ATU_RS06655,,,Hpt domain-containing protein,,phosphorelay signal transduction system|0000160||IEA
ATU_RS06660,,,2Fe-2S iron-sulfur cluster-binding protein,electron transfer activity|0009055||IEA,
ATU_RS06665,,,DUF922 domain-containing Zn-dependent protease,,
ATU_RS06670,folP,,dihydropteroate synthase,dihydropteroate synthase activity|0004156||IEA,folic acid-containing compound biosynthetic process|0009396||IEA
ATU_RS06675,folB,,dihydroneopterin aldolase,dihydroneopterin aldolase activity|0004150||IEA,folic acid-containing compound metabolic process|0006760||IEA
ATU_RS06680,folK,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity|0003848||IEA,folic acid-containing compound biosynthetic process|0009396||IEA
ATU_RS06685,,,hypothetical protein,,
ATU_RS06690,,,YcjF family protein,,
ATU_RS06695,,,YcjX family protein,,
ATU_RS06700,,,histidine phosphatase family protein,,
ATU_RS06705,dksA,,RNA polymerase-binding protein DksA,enzyme binding|0019899||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS06710,,,flagellar biosynthetic protein FliO,,bacterial-type flagellum organization|0044781||IEA
ATU_RS06715,,,hypothetical protein,,
ATU_RS06720,,,cell cycle histidine kinase CckA,,
ATU_RS06725,clpS,,ATP-dependent Clp protease adapter ClpS,,proteolysis|0006508||IEA
ATU_RS06730,clpA,,ATP-dependent Clp protease ATP-binding subunit ClpA,ATP-dependent peptidase activity|0004176||IEA,proteolysis|0006508||IEA
ATU_RS06735,,,AzlC family ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS06740,,,AzlD domain-containing protein,,
ATU_RS06745,,,LysR substrate-binding domain-containing protein,,
ATU_RS06750,,,DUF1989 domain-containing protein,,
ATU_RS06755,,,HIT family protein,S-adenosyl-L-methionine binding|1904047||IEA,
ATU_RS06760,,,GNAT family N-acetyltransferase,,
ATU_RS06765,,,glycerophosphodiester phosphodiesterase,,
ATU_RS06770,,,RidA family protein,,
ATU_RS06775,,,cell envelope integrity EipB family protein,,
ATU_RS06780,rpsB,,30S ribosomal protein S2,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS06785,tsf,,translation elongation factor Ts,translation elongation factor activity|0003746||IEA,translational elongation|0006414||IEA
ATU_RS06790,pyrH,,UMP kinase,UMP kinase activity|0033862||IEA,nucleobase-containing small molecule interconversion|0015949||IEA
ATU_RS06795,frr,,ribosome recycling factor,translation factor activity,translation|0006412||IEA
ATU_RS06800,,,isoprenyl transferase,transferase activity,
ATU_RS06805,,,phosphatidate cytidylyltransferase,,
ATU_RS06810,rseP,,RIP metalloprotease RseP,metalloendopeptidase activity|0004222||IEA,proteolysis|0006508||IEA
ATU_RS06815,bamA,,outer membrane protein assembly factor BamA,,
ATU_RS06820,lpxD,,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,N-acyltransferase activity|0016410||IEA,lipid A biosynthetic process|0009245||IEA
ATU_RS06825,fabZ,,3-hydroxyacyl-ACP dehydratase FabZ,,
ATU_RS06830,lpxA,,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity|0008780||IEA,lipid biosynthetic process|0008610||IEA
ATU_RS06835,,,LpxI family protein,,
ATU_RS06840,lpxB,,lipid-A-disaccharide synthase,lipid-A-disaccharide synthase activity|0008915||IEA,lipid A biosynthetic process|0009245||IEA
ATU_RS06845,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS06850,,,transporter substrate-binding domain-containing protein,,
ATU_RS06855,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS06860,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS06865,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS06870,gltA,,citrate synthase,citrate (Si)-synthase activity|0004108||IEA,tricarboxylic acid cycle|0006099||IEA
ATU_RS06875,,,ComEC/Rec2 family competence protein,,
ATU_RS06880,,,glutathione S-transferase family protein,,
ATU_RS06885,lexA,,transcriptional repressor LexA,serine-type endopeptidase activity|0004252||IEA,regulation of DNA repair|0006282||IEA
ATU_RS06890,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS06895,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS06900,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS06905,,,transporter substrate-binding domain-containing protein,,
ATU_RS06910,,,2-hydroxyacid dehydrogenase,,
ATU_RS06915,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS06920,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS06925,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS06930,,,sugar ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS06935,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS06940,,,mandelate racemase/muconate lactonizing enzyme family protein,,
ATU_RS06945,,,SDR family oxidoreductase,,
ATU_RS06950,,,L-idonate 5-dehydrogenase,,
ATU_RS06955,,,ureidoglycolate lyase,,
ATU_RS06960,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS06965,,,ATP-binding cassette domain-containing protein,ATP binding|0005524||IEA,
ATU_RS06970,,,branched-chain amino acid ABC transporter permease,branched-chain amino acid transmembrane transporter activity|0015658||IEA,
ATU_RS06975,,,ABC transporter substrate-binding protein,,
ATU_RS06980,,,acyl-CoA dehydrogenase family protein,oxidoreductase activity,
ATU_RS06985,,,SDR family NAD(P)-dependent oxidoreductase,,
ATU_RS06990,,,AMP-binding protein,,
ATU_RS06995,,,crotonase/enoyl-CoA hydratase family protein,,
ATU_RS07000,,,methylenetetrahydrofolate reductase,,
ATU_RS07005,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS07010,,,aminomethyltransferase family protein,,
ATU_RS07015,,,4-hydroxyphenyl-beta-ketoacyl-CoA hydrolase,,
ATU_RS07020,,,MarR family winged helix-turn-helix transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS07025,,,VOC family protein,,
ATU_RS07030,kdsA,,3-deoxy-8-phosphooctulonate synthase,3-deoxy-8-phosphooctulonate synthase activity|0008676||IEA,biosynthetic process|0009058||IEA
ATU_RS07035,eno,,phosphopyruvate hydratase,phosphopyruvate hydratase activity|0004634||IEA,glycolytic process|0006096||IEA
ATU_RS07040,,,septum formation initiator family protein,,
ATU_RS07045,pdhA,,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,pyruvate dehydrogenase (acetyl-transferring) activity|0004739||IEA,acetyl-CoA biosynthetic process from pyruvate|0006086||IEA
ATU_RS07050,,,pyruvate dehydrogenase complex E1 component subunit beta,pyruvate dehydrogenase (acetyl-transferring) activity|0004739||IEA,acetyl-CoA biosynthetic process from pyruvate|0006086||IEA
ATU_RS07055,,,hypothetical protein,,
ATU_RS07060,,,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase,pyruvate dehydrogenase activity|0004738||IEA,acetyl-CoA biosynthetic process from pyruvate|0006086||IEA
ATU_RS07065,,,SGNH/GDSL hydrolase family protein,,
ATU_RS07070,lpdA,,dihydrolipoyl dehydrogenase,dihydrolipoyl dehydrogenase activity|0004148||IEA,glycolytic process|0006096||IEA
ATU_RS07075,,,GlsB/YeaQ/YmgE family stress response membrane protein,,
ATU_RS07080,lipA,,lipoyl synthase,lipoate synthase activity|0016992||IEA,lipoate biosynthetic process|0009107||IEA
ATU_RS07085,,,DMT family transporter,transporter activity|0005215||IEA,transmembrane transport|0055085||IEA
ATU_RS07090,,,AraC family transcriptional regulator,sequence-specific DNA binding|0043565||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS26540,,,hypothetical protein,,
ATU_RS07095,,,ATPase AAA,,
ATU_RS07100,,,type II toxin-antitoxin system RatA family toxin,,
ATU_RS07105,,,CinA family protein,,
ATU_RS07110,,,bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,2-C-methyl-D-erythritol 2,isoprenoid biosynthetic process|0008299||IEA
ATU_RS07115,dusB,,tRNA dihydrouridine synthase DusB,catalytic activity|0003824||IEA,tRNA processing|0008033||IEA
ATU_RS07120,,,nitrogen regulation protein NR(II),,
ATU_RS07125,ntrC,,nitrogen regulation protein NR(I),phosphorelay response regulator activity|0000156||IEA,phosphorelay signal transduction system|0000160||IEA
ATU_RS07130,,,PAS domain-containing sensor histidine kinase,,
ATU_RS07135,,,sigma-54 dependent transcriptional regulator,ATP binding|0005524||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS07140,trkA,,Trk system potassium transporter TrkA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA
ATU_RS07145,hfq,,RNA chaperone Hfq,RNA binding|0003723||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS07150,hflX,,GTPase HflX,GTP binding|0005525||IEA,biological_process|0008150||IEA
ATU_RS07155,mazG,,nucleoside triphosphate pyrophosphohydrolase,,
ATU_RS07160,,,deaminase,zinc ion binding|0008270||IEA,
ATU_RS07165,cysG,,siroheme synthase CysG,uroporphyrin-III C-methyltransferase activity|0004851||IEA,siroheme biosynthetic process|0019354||IEA
ATU_RS07170,,,DUF2849 domain-containing protein,,
ATU_RS07175,,,nitrite/sulfite reductase,heme binding|0020037||IEA,
ATU_RS07180,,,DUF934 domain-containing protein,,
ATU_RS07185,,,ferredoxin--NADP reductase,ferredoxin-NADP+ reductase activity|0004324||IEA,
ATU_RS07190,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS07195,,,hypothetical protein,,
ATU_RS07200,,,endonuclease/exonuclease/phosphatase family protein,catalytic activity|0003824||IEA,
ATU_RS07205,gcvP,,aminomethyl-transferring glycine dehydrogenase,glycine dehydrogenase (decarboxylating) activity|0004375||IEA,glycine decarboxylation via glycine cleavage system|0019464||IEA
ATU_RS07210,gcvH,,glycine cleavage system protein GcvH,catalytic activity|0003824||IEA,glycine decarboxylation via glycine cleavage system|0019464||IEA
ATU_RS07215,gcvT,,glycine cleavage system aminomethyltransferase GcvT,aminomethyltransferase activity|0004047||IEA,glycine catabolic process|0006546||IEA
ATU_RS07220,,,DUF3008 family protein,,
ATU_RS07225,,,hypothetical protein,,
ATU_RS07230,,,copper chaperone PCu(A)C,,
ATU_RS07235,,,hypothetical protein,,
ATU_RS07240,crcB,,fluoride efflux transporter CrcB,,
ATU_RS07245,,,RluA family pseudouridine synthase,RNA binding|0003723||IEA,pseudouridine synthesis|0001522||IEA
ATU_RS07250,,,HAD family hydrolase,,
ATU_RS07255,,,ATP12 family chaperone protein,,
ATU_RS07260,,,hypothetical protein,,
ATU_RS07265,,,RidA family protein,,
ATU_RS07270,fghA,,S-formylglutathione hydrolase,S-formylglutathione hydrolase activity|0018738||IEA,formaldehyde metabolic process|0046292||IEA
ATU_RS07275,,,DUF1345 domain-containing protein,,
ATU_RS07280,,,YaiI/YqxD family protein,,
ATU_RS07285,,,DUF5680 domain-containing protein,,
ATU_RS07290,,,peroxiredoxin,thioredoxin peroxidase activity|0008379||IEA,
ATU_RS07295,,,hypothetical protein,,
ATU_RS07300,,,DUF1062 domain-containing protein,,
ATU_RS07305,,,cytochrome b,electron transfer activity|0009055||IEA,respiratory electron transport chain|0022904||IEA
ATU_RS07310,,,anti-sigma factor,,
ATU_RS07315,,,sigma-70 family RNA polymerase sigma factor,DNA binding|0003677||IEA,DNA-templated transcription initiation|0006352||IEA
ATU_RS07320,,,hypothetical protein,,
ATU_RS07325,,,YceI family protein,,
ATU_RS07330,,,IS30 family transposase,transposase activity|0004803||IEA,
ATU_RS07335,arsH,,arsenical resistance protein ArsH,molecular_function|0003674||IEA,response to arsenic-containing substance|0046685||IEA
ATU_RS07340,arsC,,arsenate reductase (glutaredoxin),arsenate reductase (glutaredoxin) activity|0008794||IEA,response to arsenic-containing substance|0046685||IEA
ATU_RS07345,arsB,,ACR3 family arsenite efflux transporter,arsenite secondary active transmembrane transporter activity|0008490||IEA,response to arsenic-containing substance|0046685||IEA
ATU_RS07350,,,arsenate reductase ArsC,,
ATU_RS07355,,,helix-turn-helix transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS07360,,,chloride channel protein,voltage-gated chloride channel activity|0005247||IEA,chloride transport|0006821||IEA
ATU_RS07365,,,MBL fold metallo-hydrolase,hydrolase activity|0016787||IEA,
ATU_RS07370,,,TatD family hydrolase,hydrolase activity|0016787||IEA,
ATU_RS07375,metG,,methionine--tRNA ligase,tRNA binding|0000049||IEA,methionyl-tRNA aminoacylation|0006431||IEA
ATU_RS07380,,,DNA polymerase III subunit delta',DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
ATU_RS07385,tmk,,dTMP kinase,thymidylate kinase activity|0004798||IEA,nucleobase-containing small molecule interconversion|0015949||IEA
ATU_RS07390,,,D-alanyl-D-alanine carboxypeptidase family protein,serine-type peptidase activity|0008236||IEA,
ATU_RS07395,,,septal ring lytic transglycosylase RlpA family protein,,
ATU_RS07400,,,hypothetical protein,,
ATU_RS07410,,,hypothetical protein,,
ATU_RS07415,,,hypothetical protein,,
ATU_RS07420,,,hypothetical protein,,
ATU_RS07425,,,hypothetical protein,,
ATU_RS07430,,,D-alanyl-D-alanine carboxypeptidase family protein,serine-type peptidase activity|0008236||IEA,
ATU_RS07435,,,hypothetical protein,,
ATU_RS07440,gyrA,,DNA gyrase subunit A,DNA binding|0003677||IEA,DNA metabolic process|0006259||IEA
ATU_RS07445,,,MarC family protein,,
ATU_RS07450,,,HPP family protein,,
ATU_RS07455,,,type II toxin-antitoxin system RelE/ParE family toxin,DNA topoisomerase type II (double strand cut,plasmid partitioning|0030541||IEA
ATU_RS07460,,,type II toxin-antitoxin system ParD family antitoxin,,regulation of chromosome segregation|0051983||IEA
ATU_RS07465,,,single-stranded DNA-binding protein,single-stranded DNA binding|0003697||IEA,DNA replication|0006260||IEA
ATU_RS07470,uvrA,,excinuclease ABC subunit UvrA,DNA binding|0003677||IEA,nucleotide-excision repair|0006289||IEA
ATU_RS07475,,,DUF72 domain-containing protein,,
ATU_RS07480,dusA,,tRNA dihydrouridine(20/20a) synthase DusA,tRNA dihydrouridine synthase activity|0017150||IEA,tRNA dihydrouridine synthesis|0002943||IEA
ATU_RS07485,,,fumarylacetoacetate hydrolase family protein,catalytic activity|0003824||IEA,
ATU_RS07490,,,gamma carbonic anhydrase family protein,,
ATU_RS07495,zur,,zinc uptake transcriptional repressor Zur,,
ATU_RS07500,znuB,,zinc ABC transporter permease subunit ZnuB,ATPase-coupled transmembrane transporter activity|0042626||IEA,transmembrane transport|0055085||IEA
ATU_RS07505,znuC,,zinc ABC transporter ATP-binding protein ZnuC,,
ATU_RS07510,znuA,,zinc ABC transporter substrate-binding protein ZnuA,,
ATU_RS07515,,,LacI family transcriptional regulator,,
ATU_RS07520,,,glycoside hydrolase family 2 protein,,
ATU_RS07525,mgrA,,L-glyceraldehyde 3-phosphate reductase,D-threo-aldose 1-dehydrogenase activity|0047834||IEA,
ATU_RS07530,,,RcnB family protein,,
ATU_RS07535,gndA,,NADP-dependent phosphogluconate dehydrogenase,phosphogluconate dehydrogenase (decarboxylating) activity|0004616||IEA,pentose-phosphate shunt|0006098||IEA
ATU_RS07540,ccoS,,cbb3-type cytochrome oxidase assembly protein CcoS,,respiratory chain complex IV assembly|0008535||IEA
ATU_RS07545,,,cation-translocating P-type ATPase,,
ATU_RS07550,,,FixH family protein,,
ATU_RS07555,ccoG,,cytochrome c oxidase accessory protein CcoG,molecular_function|0003674||IEA,respiratory chain complex IV assembly|0008535||IEA
ATU_RS07560,,,SRPBCC family protein,,
ATU_RS07565,,,VOC family protein,,
ATU_RS07570,,,VOC family protein,,
ATU_RS07575,ccoP,,cytochrome-c oxidase,cytochrome-c oxidase activity|0004129||IEA,
ATU_RS07580,,,CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone,,
ATU_RS07585,ccoO,,cytochrome-c oxidase,cytochrome-c oxidase activity|0004129||IEA,
ATU_RS07590,ccoN,,cytochrome-c oxidase,cytochrome-c oxidase activity|0004129||IEA,
ATU_RS07595,,,SulP family inorganic anion transporter,inorganic anion transmembrane transporter activity|0015103||IEA,
ATU_RS07600,,,ParB-like protein,,
ATU_RS07605,,,mechanosensitive ion channel family protein,,transmembrane transport|0055085||IEA
ATU_RS07610,cobU,,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,nucleotide binding|0000166||IEA,cobalamin biosynthetic process|0009236||IEA
ATU_RS07620,,,DUF599 domain-containing protein,,
ATU_RS07625,,,heparan-alpha-glucosaminide N-acetyltransferase,,
ATU_RS07630,,,MerR family DNA-binding transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS07635,mgtE,,magnesium transporter,magnesium ion transmembrane transporter activity|0015095||IEA,magnesium ion transport|0015693||IEA
ATU_RS07640,,,FdhF/YdeP family oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS07645,,,hypothetical protein,,
ATU_RS07650,,,peptide deformylase,peptide deformylase activity|0042586||IEA,
ATU_RS07655,,,OsmC family protein,,
ATU_RS26545,,,Thivi_2564 family membrane protein,,
ATU_RS07660,,,PAS domain-containing protein,,
ATU_RS07670,lipB,,lipoyl(octanoyl) transferase LipB,lipoyl(octanoyl) transferase activity|0033819||IEA,protein lipoylation|0009249||IEA
ATU_RS07675,,,NAD(P)-dependent alcohol dehydrogenase,oxidoreductase activity|0016491||IEA,
ATU_RS07680,,,DMT family transporter,transporter activity|0005215||IEA,transmembrane transport|0055085||IEA
ATU_RS07685,,,hypothetical protein,,
ATU_RS07690,,,phytoene/squalene synthase family protein,,
ATU_RS07695,,,Mth938-like domain-containing protein,,
ATU_RS07700,secDF,,protein translocase subunit SecDF,,
ATU_RS07705,yajC,,preprotein translocase subunit YajC,protein-transporting ATPase activity|0015450||IEA,protein secretion|0009306||IEA
ATU_RS07710,,,ATP-binding protein,,
ATU_RS07715,,,serine O-acetyltransferase,serine O-acetyltransferase activity|0009001||IEA,cysteine biosynthetic process from serine|0006535||IEA
ATU_RS07720,fdhA,,formaldehyde dehydrogenase,formaldehyde dehydrogenase activity|0018467||IEA,formaldehyde metabolic process|0046292||IEA
ATU_RS07725,,,TetR/AcrR family transcriptional regulator,,
ATU_RS07730,,,cytochrome P450,monooxygenase activity|0004497||IEA,
ATU_RS07735,,,DUF3126 family protein,,
ATU_RS07740,cysE,,serine O-acetyltransferase,serine O-acetyltransferase activity|0009001||IEA,cysteine biosynthetic process from serine|0006535||IEA
ATU_RS07745,,,alpha/beta fold hydrolase,hydrolase activity|0016787||IEA,
ATU_RS07750,,,zinc-finger domain-containing protein,,
ATU_RS07755,,,FAD-dependent monooxygenase,FAD binding|0071949||IEA,
ATU_RS07760,,,cystathionine beta-lyase,,
ATU_RS07765,,,amino acid ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS07770,,,amino acid ABC transporter permease,,
ATU_RS07775,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS07780,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS07795,recJ,,single-stranded-DNA-specific exonuclease RecJ,single-stranded DNA exodeoxyribonuclease activity|0008297||IEA,DNA recombination|0006310||IEA
ATU_RS07800,,,hypothetical protein,,
ATU_RS07805,,,homoserine dehydrogenase,homoserine dehydrogenase activity|0004412||IEA,amino acid metabolic process|0006520||IEA
ATU_RS07810,,,LL-diaminopimelate aminotransferase,pyridoxal phosphate binding|0030170||IEA,
ATU_RS07815,,,nucleoside hydrolase,,
ATU_RS07820,,,TSUP family transporter,,
ATU_RS07825,,,hypothetical protein,,
ATU_RS07830,,,lipid A biosynthesis lauroyl acyltransferase,transferase activity|0016740||IEA,
ATU_RS07835,,,zinc-binding dehydrogenase,,
ATU_RS07840,,,beta-ketoacyl-ACP synthase,,
ATU_RS07845,,,beta-ketoacyl-ACP synthase,acyltransferase activity|0016746||IEA,
ATU_RS07850,,,3-hydroxyacyl-ACP dehydratase FabZ family protein,hydro-lyase activity|0016836||IEA,fatty acid biosynthetic process|0006633||IEA
ATU_RS07855,,,acyl carrier protein,,
ATU_RS07860,hemN,,oxygen-independent coproporphyrinogen III oxidase,coproporphyrinogen dehydrogenase activity|0051989||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA
ATU_RS07865,fnrN,,transcriptional regulator FnrN,,
ATU_RS07870,,,hypothetical protein,,
ATU_RS07875,phaC,,alpha/beta hydrolase,acyltransferase activity|0016746||IEA,poly-hydroxybutyrate biosynthetic process|0042619||IEA
ATU_RS07880,sfsA,,DNA/RNA nuclease SfsA,DNA binding|0003677||IEA,maltose metabolic process|0000023||IEA
ATU_RS07885,map,,type I methionyl aminopeptidase,,protein modification process|0036211||IEA
ATU_RS07890,radC,,DNA repair protein RadC,DNA binding|0003677||IEA,DNA repair|0006281||IEA
ATU_RS07895,,,TadE/TadG family type IV pilus assembly protein,,
ATU_RS07900,,,TadG family pilus assembly protein,,
ATU_RS07905,,,class II 3-deoxy-7-phosphoheptulonate synthase,3-deoxy-7-phosphoheptulonate synthase activity|0003849||IEA,chorismate biosynthetic process|0009423||IEA
ATU_RS07910,gor,,glutathione-disulfide reductase,glutathione-disulfide reductase (NADP) activity|0004362||IEA,cell redox homeostasis|0045454||IEA
ATU_RS07915,,,DUF2059 domain-containing protein,,
ATU_RS07920,rpiA,,ribose-5-phosphate isomerase RpiA,ribose-5-phosphate isomerase activity|0004751||IEA,pentose-phosphate shunt
ATU_RS07925,,,HAD family hydrolase,phosphatase activity|0016791||IEA,carbohydrate metabolic process|0005975||IEA
ATU_RS07930,,,murein L,,
ATU_RS07935,fumC,,class II fumarate hydratase,fumarate hydratase activity|0004333||IEA,tricarboxylic acid cycle|0006099||IEA
ATU_RS07940,,,alpha/beta hydrolase,hydrolase activity|0016787||IEA,
ATU_RS07945,,,CTP synthase,CTP synthase activity|0003883||IEA,pyrimidine nucleotide biosynthetic process|0006221||IEA
ATU_RS07950,secG,,preprotein translocase subunit SecG,protein-transporting ATPase activity|0015450||IEA,protein transport by the Sec complex|0043952||IEA
ATU_RS07955,tpiA,,triose-phosphate isomerase,triose-phosphate isomerase activity|0004807||IEA,glycolytic process|0006096||IEA
ATU_RS07960,,,alpha/beta fold hydrolase,,
ATU_RS07965,parE,,DNA topoisomerase IV subunit B,DNA topoisomerase type II (double strand cut,DNA topological change|0006265||IEA
ATU_RS07970,,,NAD(P)/FAD-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS07975,,,TetR/AcrR family transcriptional regulator,,
ATU_RS07980,,,class I SAM-dependent methyltransferase,methyltransferase activity|0008168||IEA,
ATU_RS07985,,,NAD(P)-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS07990,,,ATP-dependent Clp protease proteolytic subunit,ATP-dependent peptidase activity|0004176||IEA,proteolysis|0006508||IEA
ATU_RS07995,,,SRPBCC domain-containing protein,,
ATU_RS08000,,,helix-turn-helix transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
